Название угрозы,Отрасль компании,Кол-во сотрудников,Регион,Вероятность возникновения угрозы
Social Engineering,Wholesale Trade,1369,NA,4
System Intrusion,Manufacturing,1131,NA,5
System Intrusion,Accommodation,1142,APAC,1
Basic Web-API Attacks,Finance,2655,APAC,1
Miscellaneous Errors,Transportation,1108,APAC,3
Privilege Misuse,Utilities,2644,EMEA,4
Social Engineering,Professional,2562,NA,4
Denial of Service (DoS),Wholesale Trade,1544,NA,1
System Intrusion,Public Administration,891,NA,5
Denial of Service (DoS),Finance,1262,APAC,2
Denial of Service (DoS),Transportation,457,LAC,5
Miscellaneous Errors,Retail,2489,EMEA,2
System Intrusion,Retail,397,EMEA,5
Denial of Service (DoS),Retail,747,NA,1
Denial of Service (DoS),Retail,2359,APAC,5
Miscellaneous Errors,Wholesale Trade,2104,EMEA,3
Denial of Service (DoS),Transportation,1499,APAC,2
Lost and Stolen Assets,Transportation,1834,NA,4
Miscellaneous Errors,Information,2685,EMEA,1
Privilege Misuse,Retail,1559,NA,4
Social Engineering,Public Administration,255,NA,4
System Intrusion,Accommodation,1646,APAC,1
System Intrusion,Utilities,1047,NA,2
Denial of Service (DoS),Retail,1789,NA,4
Lost and Stolen Assets,Utilities,2966,EMEA,1
Miscellaneous Errors,Utilities,2351,NA,1
Denial of Service (DoS),Utilities,1914,LAC,3
Basic Web-API Attacks,Transportation,894,NA,2
Lost and Stolen Assets,Retail,942,NA,4
Basic Web-API Attacks,Transportation,864,NA,1
Lost and Stolen Assets,Construction,2727,NA,2
Lost and Stolen Assets,Public Administration,2154,APAC,4
Basic Web-API Attacks,Manufacturing,174,EMEA,5
System Intrusion,Healthcare,188,LAC,3
Basic Web-API Attacks,Transportation,1548,NA,3
Basic Web-API Attacks,Wholesale Trade,462,APAC,1
System Intrusion,Utilities,1137,NA,1
Lost and Stolen Assets,Transportation,2456,APAC,5
Lost and Stolen Assets,Transportation,339,APAC,1
Denial of Service (DoS),Transportation,2719,NA,2
Basic Web-API Attacks,Manufacturing,1861,EMEA,2
Privilege Misuse,Entertainment,2430,EMEA,5
System Intrusion,Transportation,1227,EMEA,4
Miscellaneous Errors,Finance,1637,APAC,3
Denial of Service (DoS),Manufacturing,1179,APAC,3
System Intrusion,Retail,1363,NA,2
Basic Web-API Attacks,Accommodation,114,EMEA,4
Denial of Service (DoS),Entertainment,680,APAC,2
Privilege Misuse,Public Administration,1784,EMEA,5
Lost and Stolen Assets,Accommodation,2097,EMEA,1
System Intrusion,Administrative,305,EMEA,4
Basic Web-API Attacks,Manufacturing,1165,NA,5
Miscellaneous Errors,Accommodation,1439,NA,2
Social Engineering,Utilities,2937,NA,3
Denial of Service (DoS),Transportation,1663,NA,1
System Intrusion,Professional,668,APAC,3
Lost and Stolen Assets,Transportation,1055,APAC,4
Miscellaneous Errors,Healthcare,2807,EMEA,4
Miscellaneous Errors,Transportation,2895,EMEA,4
System Intrusion,Utilities,1795,EMEA,4
System Intrusion,Mining,953,NA,3
Basic Web-API Attacks,Retail,558,APAC,1
Lost and Stolen Assets,Retail,106,APAC,1
Denial of Service (DoS),Real Estate,1673,NA,1
Privilege Misuse,Public Administration,1005,APAC,3
System Intrusion,Accommodation,1674,EMEA,3
Social Engineering,Entertainment,1841,APAC,3
System Intrusion,Agriculture,1994,NA,2
Lost and Stolen Assets,Retail,2025,NA,3
Privilege Misuse,Public Administration,1459,LAC,3
Basic Web-API Attacks,Public Administration,1936,APAC,4
Miscellaneous Errors,Manufacturing,2610,NA,4
Denial of Service (DoS),Transportation,2143,NA,1
Denial of Service (DoS),Real Estate,2978,EMEA,5
Miscellaneous Errors,Real Estate,1480,NA,5
Denial of Service (DoS),Finance,2970,EMEA,3
Denial of Service (DoS),Agriculture,107,EMEA,5
Miscellaneous Errors,Wholesale Trade,1388,APAC,5
Miscellaneous Errors,Utilities,759,APAC,3
Basic Web-API Attacks,Real Estate,2300,EMEA,3
Lost and Stolen Assets,Utilities,282,NA,2
Social Engineering,Agriculture,1661,NA,1
Privilege Misuse,Public Administration,1774,NA,3
Privilege Misuse,Retail,185,NA,1
Basic Web-API Attacks,Utilities,989,NA,4
Social Engineering,Entertainment,1076,APAC,2
Social Engineering,Accommodation,842,NA,3
Privilege Misuse,Mining,2279,EMEA,4
Basic Web-API Attacks,Entertainment,2844,APAC,3
Basic Web-API Attacks,Mining,2454,APAC,4
Privilege Misuse,Agriculture,855,LAC,5
Miscellaneous Errors,Utilities,1944,APAC,3
System Intrusion,Transportation,379,APAC,4
Miscellaneous Errors,Transportation,868,NA,3
Privilege Misuse,Wholesale Trade,2569,APAC,3
Privilege Misuse,Transportation,1312,NA,5
Social Engineering,Transportation,1894,NA,2
Lost and Stolen Assets,Real Estate,2384,EMEA,5
Privilege Misuse,Real Estate,2127,NA,5
Denial of Service (DoS),Information,1266,NA,3
Lost and Stolen Assets,Accommodation,2708,EMEA,2
Lost and Stolen Assets,Public Administration,1975,NA,3
Denial of Service (DoS),Accommodation,1061,NA,1
Social Engineering,Construction,1379,NA,1
System Intrusion,Agriculture,1801,EMEA,2
Lost and Stolen Assets,Entertainment,2662,APAC,1
Social Engineering,Finance,2937,APAC,4
Denial of Service (DoS),Entertainment,1065,EMEA,2
System Intrusion,Professional,1442,EMEA,2
Miscellaneous Errors,Transportation,489,NA,3
Denial of Service (DoS),Finance,1533,APAC,2
Privilege Misuse,Professional,543,EMEA,1
System Intrusion,Transportation,436,EMEA,4
Social Engineering,Public Administration,1006,NA,3
Basic Web-API Attacks,Public Administration,397,NA,1
Lost and Stolen Assets,Transportation,2181,APAC,3
System Intrusion,Agriculture,697,NA,1
Denial of Service (DoS),Transportation,661,APAC,5
Privilege Misuse,Utilities,2063,EMEA,3
Social Engineering,Information,2933,NA,2
Lost and Stolen Assets,Information,2609,NA,3
Denial of Service (DoS),Utilities,784,NA,3
Privilege Misuse,Entertainment,2490,APAC,1
Privilege Misuse,Entertainment,1151,APAC,4
Privilege Misuse,Information,188,APAC,2
Privilege Misuse,Real Estate,2949,EMEA,4
Social Engineering,Public Administration,2417,APAC,4
Miscellaneous Errors,Real Estate,2128,APAC,3
Denial of Service (DoS),Entertainment,1163,APAC,3
Lost and Stolen Assets,Agriculture,2449,EMEA,3
Denial of Service (DoS),Utilities,1037,LAC,3
Lost and Stolen Assets,Public Administration,1527,LAC,4
System Intrusion,Construction,919,APAC,5
Denial of Service (DoS),Entertainment,1332,NA,1
Privilege Misuse,Real Estate,2861,EMEA,4
Miscellaneous Errors,Healthcare,1994,EMEA,1
Denial of Service (DoS),Finance,1193,NA,5
Basic Web-API Attacks,Accommodation,1453,EMEA,2
Lost and Stolen Assets,Retail,2513,APAC,5
Denial of Service (DoS),Professional,1975,EMEA,5
Lost and Stolen Assets,Healthcare,238,LAC,3
Social Engineering,Transportation,2149,NA,2
Denial of Service (DoS),Transportation,133,EMEA,5
Privilege Misuse,Wholesale Trade,2867,LAC,3
System Intrusion,Manufacturing,2456,NA,1
Denial of Service (DoS),Public Administration,2937,NA,4
System Intrusion,Entertainment,876,EMEA,2
System Intrusion,Mining,957,NA,4
Miscellaneous Errors,Wholesale Trade,1342,APAC,1
Denial of Service (DoS),Transportation,2180,NA,2
Privilege Misuse,Information,649,NA,1
Miscellaneous Errors,Retail,244,EMEA,3
Privilege Misuse,Public Administration,2029,NA,1
Miscellaneous Errors,Professional,2057,EMEA,1
Basic Web-API Attacks,Transportation,1444,APAC,5
Social Engineering,Information,926,APAC,4
Basic Web-API Attacks,Public Administration,1038,LAC,2
Social Engineering,Utilities,2056,NA,5
Social Engineering,Professional,2169,LAC,4
System Intrusion,Agriculture,1235,NA,5
Basic Web-API Attacks,Finance,1491,NA,2
Privilege Misuse,Retail,434,NA,2
Denial of Service (DoS),Wholesale Trade,548,NA,1
Privilege Misuse,Utilities,1204,EMEA,1
System Intrusion,Utilities,101,NA,3
Social Engineering,Accommodation,253,EMEA,5
Privilege Misuse,Retail,1348,NA,1
Denial of Service (DoS),Accommodation,2603,APAC,5
Miscellaneous Errors,Public Administration,1280,NA,4
System Intrusion,Utilities,682,NA,1
Basic Web-API Attacks,Real Estate,528,APAC,1
Denial of Service (DoS),Agriculture,1121,NA,5
Lost and Stolen Assets,Utilities,228,NA,4
Privilege Misuse,Wholesale Trade,1821,APAC,2
Social Engineering,Accommodation,1922,EMEA,3
Lost and Stolen Assets,Transportation,1535,APAC,1
Lost and Stolen Assets,Transportation,734,LAC,5
Social Engineering,Administrative,2601,NA,1
Privilege Misuse,Transportation,2266,EMEA,1
Miscellaneous Errors,Transportation,1460,NA,1
Social Engineering,Administrative,2705,NA,3
Basic Web-API Attacks,Utilities,842,EMEA,3
Denial of Service (DoS),Utilities,321,NA,5
Denial of Service (DoS),Construction,1023,NA,4
Miscellaneous Errors,Public Administration,2214,EMEA,5
Social Engineering,Transportation,1646,APAC,5
Miscellaneous Errors,Agriculture,1262,NA,2
Miscellaneous Errors,Agriculture,199,NA,4
Lost and Stolen Assets,Administrative,2428,NA,4
Basic Web-API Attacks,Wholesale Trade,2544,APAC,3
Miscellaneous Errors,Transportation,2563,EMEA,1
Miscellaneous Errors,Finance,957,EMEA,1
System Intrusion,Construction,1340,EMEA,5
System Intrusion,Utilities,210,APAC,5
Denial of Service (DoS),Manufacturing,228,EMEA,1
Social Engineering,Entertainment,2793,NA,2
Privilege Misuse,Accommodation,442,APAC,1
System Intrusion,Manufacturing,909,APAC,5
Basic Web-API Attacks,Transportation,550,EMEA,1
Lost and Stolen Assets,Wholesale Trade,2511,NA,1
Miscellaneous Errors,Retail,251,NA,3
Lost and Stolen Assets,Retail,1797,EMEA,1
Basic Web-API Attacks,Information,2724,NA,2
Lost and Stolen Assets,Transportation,1629,EMEA,5
Basic Web-API Attacks,Agriculture,1534,EMEA,3
Lost and Stolen Assets,Public Administration,1115,APAC,5
Privilege Misuse,Mining,503,NA,3
Privilege Misuse,Entertainment,921,EMEA,2
Lost and Stolen Assets,Entertainment,1331,NA,4
Denial of Service (DoS),Entertainment,1851,LAC,4
Social Engineering,Entertainment,567,EMEA,5
Privilege Misuse,Wholesale Trade,2651,APAC,4
Miscellaneous Errors,Utilities,340,NA,4
System Intrusion,Utilities,2807,NA,2
Miscellaneous Errors,Public Administration,2007,EMEA,5
Basic Web-API Attacks,Healthcare,650,NA,5
System Intrusion,Transportation,252,NA,3
Denial of Service (DoS),Wholesale Trade,1545,APAC,1
Social Engineering,Manufacturing,1927,APAC,2
Basic Web-API Attacks,Utilities,2919,NA,2
Lost and Stolen Assets,Transportation,381,NA,4
Privilege Misuse,Retail,835,EMEA,1
Privilege Misuse,Public Administration,633,EMEA,3
Social Engineering,Transportation,2793,NA,2
Basic Web-API Attacks,Entertainment,1763,EMEA,5
Privilege Misuse,Utilities,1030,NA,3
Privilege Misuse,Administrative,2073,APAC,2
Social Engineering,Public Administration,827,LAC,2
Lost and Stolen Assets,Professional,638,EMEA,3
Lost and Stolen Assets,Public Administration,1859,NA,5
Denial of Service (DoS),Accommodation,2246,NA,5
Privilege Misuse,Public Administration,405,LAC,2
Lost and Stolen Assets,Public Administration,2220,NA,4
Basic Web-API Attacks,Public Administration,2097,APAC,5
Miscellaneous Errors,Real Estate,2829,APAC,2
Social Engineering,Accommodation,2029,LAC,4
Miscellaneous Errors,Real Estate,679,EMEA,3
System Intrusion,Transportation,2511,EMEA,2
Social Engineering,Real Estate,613,NA,5
Miscellaneous Errors,Accommodation,2311,NA,4
Basic Web-API Attacks,Manufacturing,2021,APAC,1
System Intrusion,Entertainment,1645,APAC,1
System Intrusion,Retail,1954,APAC,2
Privilege Misuse,Finance,1630,EMEA,3
Miscellaneous Errors,Agriculture,2541,NA,4
Basic Web-API Attacks,Real Estate,1805,APAC,3
Miscellaneous Errors,Utilities,647,APAC,2
Basic Web-API Attacks,Public Administration,1610,NA,1
Miscellaneous Errors,Administrative,2698,NA,2
Miscellaneous Errors,Retail,454,NA,5
Miscellaneous Errors,Utilities,2512,NA,1
Denial of Service (DoS),Utilities,2289,EMEA,3
Privilege Misuse,Information,2497,APAC,4
System Intrusion,Construction,2046,EMEA,5
Miscellaneous Errors,Transportation,358,NA,1
Privilege Misuse,Public Administration,469,APAC,5
Denial of Service (DoS),Transportation,260,NA,2
Social Engineering,Accommodation,1203,EMEA,4
Miscellaneous Errors,Wholesale Trade,948,APAC,1
Miscellaneous Errors,Utilities,2293,EMEA,4
Denial of Service (DoS),Information,2035,APAC,2
System Intrusion,Real Estate,547,NA,1
Privilege Misuse,Accommodation,1984,EMEA,1
Privilege Misuse,Public Administration,2295,APAC,4
Basic Web-API Attacks,Finance,2620,NA,5
Privilege Misuse,Construction,237,APAC,1
Lost and Stolen Assets,Agriculture,1729,NA,5
Lost and Stolen Assets,Public Administration,804,APAC,2
Social Engineering,Agriculture,1305,NA,4
System Intrusion,Mining,1754,NA,5
Privilege Misuse,Accommodation,733,NA,5
Privilege Misuse,Public Administration,1512,APAC,5
Privilege Misuse,Transportation,233,EMEA,2
System Intrusion,Agriculture,1512,APAC,3
Denial of Service (DoS),Transportation,1706,EMEA,3
Miscellaneous Errors,Mining,124,LAC,1
System Intrusion,Agriculture,2418,EMEA,2
Lost and Stolen Assets,Accommodation,1692,APAC,4
Miscellaneous Errors,Administrative,2550,EMEA,5
Basic Web-API Attacks,Transportation,1900,NA,3
Denial of Service (DoS),Retail,2826,NA,4
Privilege Misuse,Finance,768,EMEA,1
Denial of Service (DoS),Retail,1533,NA,2
Privilege Misuse,Utilities,1541,APAC,5
Social Engineering,Accommodation,385,APAC,4
Lost and Stolen Assets,Professional,2784,APAC,2
Basic Web-API Attacks,Retail,1507,APAC,3
Miscellaneous Errors,Transportation,2854,EMEA,1
Miscellaneous Errors,Transportation,1524,APAC,3
Denial of Service (DoS),Transportation,2102,LAC,1
Basic Web-API Attacks,Agriculture,2871,APAC,4
System Intrusion,Information,992,EMEA,5
Lost and Stolen Assets,Information,2382,APAC,4
Privilege Misuse,Public Administration,2534,EMEA,2
Social Engineering,Information,2533,EMEA,1
Lost and Stolen Assets,Transportation,2231,EMEA,5
Denial of Service (DoS),Transportation,717,NA,3
Privilege Misuse,Retail,2985,NA,5
Denial of Service (DoS),Utilities,2174,LAC,1
System Intrusion,Utilities,2304,APAC,1
Privilege Misuse,Transportation,2034,APAC,1
Miscellaneous Errors,Entertainment,1175,EMEA,1
Privilege Misuse,Healthcare,806,APAC,3
System Intrusion,Administrative,886,APAC,5
Basic Web-API Attacks,Utilities,1250,APAC,3
System Intrusion,Finance,1465,EMEA,5
Lost and Stolen Assets,Real Estate,2724,APAC,2
Social Engineering,Agriculture,2415,EMEA,3
Denial of Service (DoS),Retail,474,NA,4
Denial of Service (DoS),Mining,1363,APAC,5
Denial of Service (DoS),Construction,2582,EMEA,2
Social Engineering,Utilities,2237,APAC,5
Basic Web-API Attacks,Finance,2123,EMEA,4
Privilege Misuse,Professional,2736,EMEA,4
Privilege Misuse,Entertainment,625,LAC,2
Lost and Stolen Assets,Transportation,1517,APAC,1
Privilege Misuse,Transportation,2229,APAC,5
Denial of Service (DoS),Professional,1690,APAC,5
Basic Web-API Attacks,Utilities,1906,APAC,3
Denial of Service (DoS),Construction,2501,EMEA,4
Miscellaneous Errors,Healthcare,2438,NA,3
System Intrusion,Administrative,2763,EMEA,4
Denial of Service (DoS),Utilities,862,APAC,3
System Intrusion,Retail,847,APAC,2
Social Engineering,Accommodation,844,APAC,3
Basic Web-API Attacks,Transportation,2611,EMEA,3
Basic Web-API Attacks,Transportation,948,EMEA,1
System Intrusion,Manufacturing,2667,EMEA,2
Social Engineering,Wholesale Trade,2863,APAC,2
System Intrusion,Wholesale Trade,2339,LAC,3
System Intrusion,Finance,2924,APAC,4
System Intrusion,Retail,2307,APAC,4
Denial of Service (DoS),Retail,2909,NA,5
Miscellaneous Errors,Public Administration,2016,APAC,3
Basic Web-API Attacks,Manufacturing,934,APAC,1
Basic Web-API Attacks,Real Estate,2385,NA,1
Privilege Misuse,Finance,1795,EMEA,5
Social Engineering,Retail,2685,NA,5
Privilege Misuse,Entertainment,1793,NA,4
System Intrusion,Information,955,NA,3
Privilege Misuse,Retail,1109,APAC,4
Social Engineering,Transportation,1745,NA,3
Denial of Service (DoS),Utilities,2360,EMEA,3
Miscellaneous Errors,Entertainment,1426,EMEA,4
Miscellaneous Errors,Retail,2783,EMEA,2
Privilege Misuse,Utilities,555,APAC,2
Lost and Stolen Assets,Healthcare,1646,EMEA,3
Social Engineering,Transportation,274,NA,3
Lost and Stolen Assets,Real Estate,2279,EMEA,4
Miscellaneous Errors,Information,625,EMEA,4
Miscellaneous Errors,Transportation,1971,EMEA,5
Miscellaneous Errors,Entertainment,1203,LAC,5
Denial of Service (DoS),Healthcare,2582,APAC,3
Lost and Stolen Assets,Accommodation,2355,EMEA,5
Privilege Misuse,Mining,1168,LAC,5
Privilege Misuse,Retail,2421,NA,3
Miscellaneous Errors,Utilities,2919,EMEA,1
Denial of Service (DoS),Public Administration,1363,APAC,5
Miscellaneous Errors,Transportation,927,NA,1
Social Engineering,Healthcare,1003,APAC,4
System Intrusion,Entertainment,627,EMEA,1
Denial of Service (DoS),Retail,1620,NA,3
Basic Web-API Attacks,Transportation,119,EMEA,2
Miscellaneous Errors,Real Estate,2728,EMEA,2
Basic Web-API Attacks,Transportation,1992,APAC,5
Denial of Service (DoS),Transportation,2098,APAC,3
Privilege Misuse,Manufacturing,740,EMEA,5
System Intrusion,Retail,265,APAC,3
Basic Web-API Attacks,Manufacturing,693,EMEA,2
Denial of Service (DoS),Wholesale Trade,1521,NA,3
Lost and Stolen Assets,Finance,1665,NA,2
Lost and Stolen Assets,Retail,2651,EMEA,1
Basic Web-API Attacks,Construction,2775,NA,2
Miscellaneous Errors,Transportation,497,EMEA,1
Miscellaneous Errors,Transportation,2261,NA,1
System Intrusion,Manufacturing,1524,EMEA,1
Social Engineering,Transportation,2673,EMEA,3
Social Engineering,Public Administration,2644,APAC,1
Basic Web-API Attacks,Transportation,1503,APAC,4
Social Engineering,Real Estate,2634,NA,4
Miscellaneous Errors,Healthcare,695,EMEA,4
System Intrusion,Transportation,2643,APAC,3
Lost and Stolen Assets,Mining,2121,NA,1
System Intrusion,Entertainment,666,EMEA,5
System Intrusion,Public Administration,2593,APAC,3
Privilege Misuse,Entertainment,2458,EMEA,2
System Intrusion,Agriculture,913,LAC,4
Privilege Misuse,Utilities,1481,EMEA,2
System Intrusion,Public Administration,152,NA,2
Basic Web-API Attacks,Accommodation,488,NA,3
Privilege Misuse,Utilities,1660,EMEA,5
Lost and Stolen Assets,Entertainment,1427,EMEA,4
Social Engineering,Public Administration,1998,NA,3
Basic Web-API Attacks,Transportation,1821,EMEA,3
Denial of Service (DoS),Real Estate,389,APAC,1
Privilege Misuse,Construction,236,APAC,4
System Intrusion,Agriculture,2256,LAC,5
Basic Web-API Attacks,Public Administration,2403,APAC,3
Lost and Stolen Assets,Healthcare,254,APAC,1
Social Engineering,Entertainment,1147,NA,3
Denial of Service (DoS),Retail,1888,APAC,1
Lost and Stolen Assets,Real Estate,1787,APAC,1
Lost and Stolen Assets,Healthcare,159,APAC,2
System Intrusion,Public Administration,1346,EMEA,4
Miscellaneous Errors,Manufacturing,1515,APAC,2
Privilege Misuse,Real Estate,1301,EMEA,2
Basic Web-API Attacks,Public Administration,1166,APAC,1
Social Engineering,Wholesale Trade,1461,NA,3
Privilege Misuse,Administrative,2470,LAC,1
Denial of Service (DoS),Transportation,1787,NA,1
Miscellaneous Errors,Wholesale Trade,1974,APAC,4
Lost and Stolen Assets,Finance,2947,EMEA,1
Privilege Misuse,Utilities,1563,LAC,2
Denial of Service (DoS),Utilities,2604,APAC,4
Social Engineering,Retail,1163,EMEA,2
Denial of Service (DoS),Construction,1747,NA,1
Basic Web-API Attacks,Transportation,2443,NA,3
Basic Web-API Attacks,Public Administration,2900,APAC,5
System Intrusion,Healthcare,2193,EMEA,4
System Intrusion,Agriculture,1403,APAC,4
Lost and Stolen Assets,Healthcare,2272,APAC,4
Lost and Stolen Assets,Construction,461,NA,1
Social Engineering,Manufacturing,1463,NA,3
Miscellaneous Errors,Wholesale Trade,2321,APAC,4
Denial of Service (DoS),Entertainment,1405,APAC,5
Privilege Misuse,Real Estate,560,APAC,1
Privilege Misuse,Entertainment,2139,EMEA,2
Miscellaneous Errors,Manufacturing,258,EMEA,4
Privilege Misuse,Agriculture,2665,APAC,2
Privilege Misuse,Agriculture,674,NA,2
Privilege Misuse,Healthcare,1643,APAC,2
Denial of Service (DoS),Manufacturing,1586,NA,5
System Intrusion,Manufacturing,2371,APAC,3
Denial of Service (DoS),Finance,2299,APAC,2
System Intrusion,Healthcare,2187,LAC,4
Lost and Stolen Assets,Utilities,263,NA,5
Basic Web-API Attacks,Utilities,842,EMEA,2
Denial of Service (DoS),Entertainment,1820,NA,5
Lost and Stolen Assets,Public Administration,1898,EMEA,1
Social Engineering,Mining,2900,APAC,4
Lost and Stolen Assets,Transportation,1665,LAC,4
Denial of Service (DoS),Manufacturing,1553,APAC,5
Miscellaneous Errors,Public Administration,2288,APAC,1
Privilege Misuse,Healthcare,1676,EMEA,4
System Intrusion,Public Administration,1778,NA,5
Social Engineering,Accommodation,2080,APAC,1
Privilege Misuse,Agriculture,1564,NA,2
Privilege Misuse,Healthcare,1456,NA,3
Denial of Service (DoS),Agriculture,776,NA,2
Lost and Stolen Assets,Real Estate,1187,NA,5
Lost and Stolen Assets,Retail,677,APAC,1
Denial of Service (DoS),Utilities,382,LAC,3
Denial of Service (DoS),Retail,2679,NA,5
Miscellaneous Errors,Agriculture,1119,NA,1
Denial of Service (DoS),Public Administration,284,LAC,2
Privilege Misuse,Accommodation,1515,NA,2
System Intrusion,Public Administration,405,NA,1
Privilege Misuse,Wholesale Trade,2437,LAC,5
Basic Web-API Attacks,Transportation,2033,APAC,2
Basic Web-API Attacks,Public Administration,1838,NA,3
System Intrusion,Information,356,EMEA,1
System Intrusion,Entertainment,964,EMEA,4
Lost and Stolen Assets,Retail,1194,EMEA,5
System Intrusion,Utilities,414,APAC,3
Denial of Service (DoS),Real Estate,1492,APAC,2
Miscellaneous Errors,Retail,620,APAC,1
System Intrusion,Utilities,1677,EMEA,2
Miscellaneous Errors,Transportation,2979,EMEA,2
Privilege Misuse,Entertainment,941,EMEA,3
Social Engineering,Agriculture,731,EMEA,4
Social Engineering,Healthcare,1012,APAC,4
Denial of Service (DoS),Transportation,2055,NA,4
Denial of Service (DoS),Information,829,EMEA,1
Denial of Service (DoS),Administrative,606,APAC,2
Miscellaneous Errors,Retail,729,APAC,1
Lost and Stolen Assets,Real Estate,2320,EMEA,4
System Intrusion,Agriculture,574,NA,2
Denial of Service (DoS),Entertainment,1495,EMEA,2
Basic Web-API Attacks,Mining,2359,APAC,5
Lost and Stolen Assets,Utilities,1246,NA,3
Denial of Service (DoS),Transportation,2428,EMEA,2
Lost and Stolen Assets,Professional,929,NA,3
Lost and Stolen Assets,Agriculture,1928,APAC,1
Privilege Misuse,Retail,1390,APAC,1
Denial of Service (DoS),Utilities,2803,EMEA,1
Privilege Misuse,Manufacturing,1454,EMEA,3
Basic Web-API Attacks,Retail,1680,EMEA,2
Social Engineering,Utilities,334,EMEA,5
Basic Web-API Attacks,Retail,1220,APAC,3
System Intrusion,Wholesale Trade,1760,LAC,5
Denial of Service (DoS),Professional,105,LAC,3
Social Engineering,Public Administration,1534,EMEA,1
Miscellaneous Errors,Wholesale Trade,2168,APAC,3
System Intrusion,Finance,1878,EMEA,2
Lost and Stolen Assets,Utilities,1035,NA,4
System Intrusion,Entertainment,890,LAC,4
Denial of Service (DoS),Transportation,240,EMEA,1
Social Engineering,Healthcare,2900,NA,1
System Intrusion,Manufacturing,1496,NA,2
Denial of Service (DoS),Retail,2800,EMEA,3
Denial of Service (DoS),Retail,2834,EMEA,1
Basic Web-API Attacks,Entertainment,1133,APAC,1
Miscellaneous Errors,Real Estate,1887,NA,5
Social Engineering,Transportation,2353,APAC,1
Social Engineering,Public Administration,2536,APAC,2
Social Engineering,Transportation,778,NA,4
Denial of Service (DoS),Mining,2379,NA,5
Social Engineering,Finance,2524,LAC,2
Lost and Stolen Assets,Utilities,900,APAC,2
Miscellaneous Errors,Healthcare,2841,APAC,3
Social Engineering,Entertainment,2663,NA,1
Privilege Misuse,Manufacturing,1147,APAC,1
Basic Web-API Attacks,Utilities,2056,LAC,4
Lost and Stolen Assets,Utilities,2119,APAC,5
System Intrusion,Entertainment,1403,APAC,5
Privilege Misuse,Administrative,555,EMEA,4
Basic Web-API Attacks,Entertainment,1172,APAC,5
Denial of Service (DoS),Transportation,1326,APAC,4
Denial of Service (DoS),Information,1014,EMEA,1
System Intrusion,Healthcare,447,EMEA,1
Social Engineering,Mining,2809,APAC,3
Denial of Service (DoS),Mining,1554,APAC,5
Basic Web-API Attacks,Healthcare,253,NA,3
Social Engineering,Healthcare,1210,EMEA,5
Denial of Service (DoS),Utilities,1559,EMEA,4
Privilege Misuse,Transportation,1939,EMEA,5
System Intrusion,Accommodation,452,LAC,1
Lost and Stolen Assets,Accommodation,2058,NA,5
Lost and Stolen Assets,Public Administration,2524,NA,3
Lost and Stolen Assets,Public Administration,833,EMEA,2
System Intrusion,Real Estate,2585,NA,3
Privilege Misuse,Entertainment,1726,APAC,4
Basic Web-API Attacks,Transportation,1701,NA,2
Basic Web-API Attacks,Wholesale Trade,1482,APAC,3
Basic Web-API Attacks,Utilities,2240,EMEA,4
Basic Web-API Attacks,Transportation,1259,APAC,5
Privilege Misuse,Entertainment,149,APAC,1
System Intrusion,Professional,836,EMEA,2
Lost and Stolen Assets,Public Administration,665,NA,5
Miscellaneous Errors,Public Administration,2960,NA,1
Denial of Service (DoS),Manufacturing,862,NA,4
Lost and Stolen Assets,Mining,545,NA,5
Social Engineering,Public Administration,873,EMEA,5
Lost and Stolen Assets,Utilities,1132,APAC,2
System Intrusion,Utilities,502,APAC,3
Denial of Service (DoS),Finance,1575,LAC,5
Denial of Service (DoS),Transportation,2044,LAC,5
Basic Web-API Attacks,Accommodation,2023,EMEA,2
Denial of Service (DoS),Accommodation,905,EMEA,1
System Intrusion,Transportation,1370,APAC,4
Basic Web-API Attacks,Wholesale Trade,1708,NA,5
Basic Web-API Attacks,Information,2478,EMEA,1
Denial of Service (DoS),Information,991,EMEA,1
Lost and Stolen Assets,Public Administration,2365,EMEA,5
Miscellaneous Errors,Real Estate,2831,EMEA,3
Miscellaneous Errors,Entertainment,1033,NA,2
Miscellaneous Errors,Public Administration,2278,EMEA,3
System Intrusion,Retail,2738,EMEA,4
Miscellaneous Errors,Professional,1898,NA,2
Privilege Misuse,Manufacturing,725,NA,1
Social Engineering,Transportation,1670,EMEA,4
Miscellaneous Errors,Accommodation,102,NA,3
Lost and Stolen Assets,Public Administration,2026,NA,4
Privilege Misuse,Transportation,1466,NA,5
Basic Web-API Attacks,Professional,2911,APAC,5
Denial of Service (DoS),Retail,1673,APAC,5
Privilege Misuse,Administrative,1621,EMEA,1
Denial of Service (DoS),Real Estate,1869,EMEA,2
Miscellaneous Errors,Finance,1775,NA,2
Miscellaneous Errors,Information,2228,NA,3
Privilege Misuse,Transportation,989,NA,1
Privilege Misuse,Real Estate,1577,NA,2
Miscellaneous Errors,Transportation,2513,NA,2
Basic Web-API Attacks,Healthcare,1564,EMEA,3
Basic Web-API Attacks,Information,2472,EMEA,4
Lost and Stolen Assets,Public Administration,1941,APAC,3
Denial of Service (DoS),Real Estate,440,LAC,3
Social Engineering,Utilities,260,NA,3
Lost and Stolen Assets,Public Administration,2279,EMEA,1
Basic Web-API Attacks,Public Administration,2508,EMEA,2
Denial of Service (DoS),Retail,1852,NA,1
Basic Web-API Attacks,Transportation,1650,APAC,3
